index,dp_calls_NORMAL,literal_iteration_NORMAL,literal_search_NORMAL,dp_calls_PREPROCESS,literal_iteration_PREPROCESS,literal_search_PREPROCESS,dp_calls_PURE_LITERAL,literal_iteration_PURE_LITERAL,literal_search_PURE_LITERAL,dp_calls_PREPROCESS_+_PURE_LITERAL,literal_iteration_PREPROCESS_+_PURE_LITERAL,literal_search_PREPROCESS_+_PURE_LITERAL
0,4,24423,44530,4,24632,44500,4,26247,46518,4,26696,46734
1,4,12072,22006,4,12183,21976,4,12970,23066,4,13199,23160
2,5,12117,22058,5,12215,22032,5,13029,23139,5,13239,23239
3,5,12591,22494,5,12447,22498,5,13759,23871,5,13727,24003
4,4,12311,22458,4,12408,22428,4,13223,23534,4,13440,23628
5,5,12815,22780,5,12587,22778,5,14065,24247,5,13947,24371
6,6,12950,22816,6,12612,22824,6,14314,24420,6,14084,24552
7,5,12591,22494,5,12447,22498,5,13759,23871,5,13727,24003
8,4,12270,22376,4,12367,22346,4,13182,23452,4,13399,23546
9,5,11952,21728,5,12050,21702,5,12864,22809,5,13074,22909
10,4,12085,22032,4,12196,22002,4,12983,23092,4,13212,23186
11,5,12100,22024,5,12198,21998,5,13012,23105,5,13222,23205
12,4,12176,22188,4,12273,22158,4,13088,23264,4,13305,23360
13,6,12943,22802,6,12607,22814,6,14307,24406,6,14079,24542
14,6,12666,22532,6,12460,22520,6,13890,23978,6,13788,24074
15,4,12309,22454,4,12406,22424,4,13221,23530,4,13438,23624
16,6,12863,22738,6,12570,22738,6,14179,24290,6,13990,24404
17,5,12827,22804,5,12596,22796,5,14077,24271,5,13956,24389
18,5,12136,22096,5,12234,22070,5,13048,23177,5,13258,23277
19,6,12652,22504,6,12446,22492,6,13876,23952,6,13774,24046
20,4,11948,21852,4,12109,21822,4,12796,22844,4,13069,22948
21,6,12686,22572,6,12480,22560,6,13910,24018,6,13808,24114
22,5,12577,22466,5,12433,22470,5,13745,23843,5,13713,23975
23,5,12708,22566,5,12481,22566,5,13958,24033,5,13841,24159
24,5,12844,22838,5,12617,22838,5,14094,24305,5,13977,24431
25,4,12302,22440,4,12399,22410,4,13214,23516,4,13431,23610
26,4,12172,22300,4,12333,22270,4,13020,23292,4,13293,23396
27,4,12068,22092,4,12229,22062,4,12916,23084,4,13189,23188
28,5,12526,22364,5,12382,22368,5,13694,23741,5,13662,23873
29,4,12238,22112,4,12252,22100,4,13242,23288,4,13356,23388
30,5,12747,22644,5,12517,22638,5,13997,24111,5,13877,24231
