index,dp_calls,literal_iteration,literal_search
0,4,24423,44530
1,4,12072,22006
2,5,12117,22058
3,5,12591,22494
4,4,12311,22458
5,5,12815,22780
6,6,12950,22816
7,5,12591,22494
8,4,12270,22376
9,5,11952,21728
10,4,12085,22032
11,5,12100,22024
12,4,12176,22188
13,6,12943,22802
14,6,12666,22532
15,4,12309,22454
16,6,12863,22738
17,5,12827,22804
18,5,12136,22096
19,6,12652,22504
20,4,11948,21852
21,6,12686,22572
22,5,12577,22466
23,5,12708,22566
24,5,12844,22838
25,4,12302,22440
26,4,12172,22300
27,4,12068,22092
28,5,12526,22364
29,4,12238,22112
30,5,12747,22644
31,5,12814,22778
32,6,12870,22752
33,4,12251,22338
34,4,12149,22160
35,6,12857,22726
36,4,11927,21810
37,6,12747,22506
38,6,12893,22798
39,4,12227,22290
40,6,12825,22662
41,6,12972,22860
42,6,12912,22836
43,4,12218,22272
44,6,12750,22700
45,4,11840,21626
46,6,12890,22696
47,6,12697,22594
48,4,12307,22450
49,6,12860,22732
50,4,12245,22126
51,6,12827,22666
52,5,12538,22388
53,4,12311,22258
54,4,12410,22656
55,4,12336,22508
56,4,12206,22248
57,5,11984,21792
58,4,12269,22400
59,6,12853,22718
60,4,12232,22326
61,4,11802,21560
62,5,12134,22092
63,4,12068,21998
64,4,11803,21562
65,4,11825,21606
66,4,11865,21686
67,4,12132,22126
68,4,12319,22274
69,5,12828,22806
70,6,12621,22442
71,4,12281,22398
72,6,12870,22752
73,6,12625,22450
74,4,12183,22228
75,4,12182,22226
76,6,12914,22744
77,5,12586,22484
78,4,12236,22428
79,6,12863,22738
80,5,12832,22814
81,4,12319,22274
82,4,12193,22332
83,6,12709,22618
84,4,12160,22276
85,6,12863,22738
86,5,12101,22026
87,4,12046,21954
88,4,12142,22120
89,4,12395,22626
90,5,12839,22828
91,6,12867,22650
92,6,12931,22778
93,5,12139,22102
94,4,12113,22088
95,6,12881,22774
96,6,12866,22744
97,4,12262,22360
98,6,12857,22726
99,6,12919,22754
100,4,12209,22280
101,5,12108,22040
102,4,12163,22188
103,6,12861,22734
104,6,12835,22682
105,6,12821,22558
106,6,12969,22854
107,5,12164,22152
108,4,11843,21642
109,6,12834,22584
110,4,12123,22108
111,6,12860,22636
112,5,12597,22506
113,6,12610,22420
114,6,12855,22722
115,4,11796,21548
116,5,12144,22112
117,6,12866,22744
118,6,12930,22872
119,4,12187,22236
120,5,12808,22766
121,6,12936,22884
122,6,12940,22796
123,6,12898,22712
124,4,12060,22066
125,6,12824,22660
126,5,11973,21770
127,4,12252,22340
128,6,12765,22730
129,6,12826,22664
130,4,12101,22064
131,5,12594,22500
132,4,12104,22164
133,4,12174,22210
134,5,12120,22064
135,4,12132,22220
136,6,12847,22706
137,4,12315,22466
138,6,12885,22782
139,4,12193,22248
140,4,12162,22186
141,4,11884,21724
142,6,12740,22680
143,5,12147,22118
144,6,12637,22474
145,4,12199,22344
146,6,12844,22888
147,4,12293,22422
148,5,12788,22726
149,4,12135,22226
150,4,12038,21938
151,4,12212,22286
152,6,12794,22788
153,4,12178,22218
154,6,12857,22726
155,6,12897,22710
156,5,12001,21826
157,6,12873,22758
158,4,12320,22476
159,4,12187,22236
160,4,12208,22362
161,4,12056,21974
162,6,12836,22588
163,6,12896,22708
164,4,12041,21944
165,4,12204,22354
166,6,12941,22894
167,5,12764,22678
168,4,12286,22408
169,6,12921,22758
170,5,12816,22782
171,6,12636,22472
172,4,12124,22204
173,4,12161,22278
174,6,12885,22686
175,4,12168,22198
176,6,12814,22544
177,6,12840,22596
178,4,12190,22242
179,4,12173,22292
180,6,12887,22690
181,5,12531,22374
182,4,12076,22014
183,6,12759,22718
184,5,12153,22130
185,5,12784,22718
186,4,11805,21566
187,4,12271,22378
188,5,12131,22086
189,5,12129,22082
190,4,12224,22310
191,5,12787,22724
192,4,12269,22374
193,6,12876,22668
194,4,12210,22376
195,5,12791,22732
196,6,12924,22764
197,6,12747,22694
198,6,12910,22736
199,6,12779,22570
200,6,12849,22710
201,6,12899,22810
202,5,11985,21794
203,4,12226,22408
204,4,12193,22222
205,4,12369,22574
206,4,11816,21588
207,5,12842,22834
208,6,12775,22750
209,6,12917,22846
210,4,11880,21706
211,6,12870,22752
212,6,12690,22580
213,5,12797,22744
214,5,12124,22072
215,6,12835,22682
216,4,12246,22354
217,6,12836,22684
218,6,12876,22764
219,4,12200,22262
220,4,12180,22222
221,4,12287,22410
222,5,12593,22498
223,4,12225,22312
224,6,12960,22932
225,4,12214,22374
226,6,12954,22824
227,6,12864,22740
228,4,12101,22064
229,6,12674,22548
230,5,12750,22650
231,6,12867,22650
232,6,12859,22634
233,6,12674,22548
234,4,12320,22476
235,6,12753,22518
236,6,12879,22770
237,6,12795,22790
238,6,12688,22576
239,4,12233,22302
240,6,12895,22706
241,5,12147,22118
242,4,12087,22036
243,6,12946,22808
244,6,12940,22796
245,4,12246,22328
246,5,12734,22618
247,5,12168,22160
248,5,11961,21746
249,4,12294,22424
250,6,12860,22920
251,4,12239,22314
252,6,12860,22732
253,5,12593,22498
254,6,12854,22624
255,4,12265,22366
256,6,12850,22712
257,4,12211,22258
258,5,12125,22074
259,6,12826,22568
260,4,12278,22392
261,5,12837,22824
262,6,12842,22696
263,6,12774,22748
264,6,12813,22638
265,4,12177,22216
266,6,12870,22752
267,6,12939,22794
268,6,12701,22602
269,4,12146,22248
270,6,12937,22886
271,6,12640,22480
272,6,12740,22680
273,6,12958,22832
274,5,12127,22078
275,6,12919,22850
276,6,12958,22832
277,6,12802,22616
278,6,12707,22614
279,4,12141,22144
280,4,11840,21636
281,4,12134,22224
282,6,12707,22614
283,5,12739,22628
284,6,12896,22804
285,4,12202,22266
286,4,12143,22148
287,5,12799,22748
288,4,11811,21578
289,4,12174,22210
290,6,12875,22762
291,4,12268,22372
292,4,12253,22342
293,4,12352,22540
294,4,12262,22360
295,6,12826,22852
296,5,12754,22658
297,4,12166,22194
298,6,12847,22706
299,4,12275,22386
300,4,12059,21980
301,4,12206,22248
302,4,12335,22506
303,6,12610,22420
304,6,12834,22584
305,5,12736,22622
306,5,12178,22180
307,5,12772,22694
308,4,12210,22282
309,6,12617,22434
310,6,12817,22550
311,5,12176,22176
312,5,12107,22038
313,6,12762,22536
314,6,12928,22772
315,6,12782,22576
316,6,12851,22618
317,4,11856,21668
318,5,12775,22700
319,4,12230,22416
320,5,12774,22698
321,6,12937,22886
322,5,12011,21846
323,6,12790,22780
324,4,11787,21530
325,4,11861,21668
326,5,12137,22098
327,4,12307,22450
328,5,12137,22098
329,4,12200,22346
330,5,12592,22496
331,4,12103,22162
332,4,12124,22204
333,4,12235,22106
334,5,12845,22840
335,4,12260,22382
336,5,11967,21758
337,4,12083,22028
338,4,12368,22572
339,6,12852,22716
340,6,12878,22768
341,4,12144,22244
342,6,12619,22438
343,6,12708,22616
344,6,12827,22570
345,6,12700,22600
346,6,12787,22774
347,4,12217,22270
348,6,12851,22714
349,4,11800,21556
350,5,12763,22676
351,4,12183,22228
352,5,12101,22026
353,5,12579,22470
354,6,12799,22798
355,4,12098,22058
356,6,12932,22876
357,6,12902,22720
358,6,12879,22770
359,6,12923,22858
360,4,12312,22260
361,4,12240,22342
362,4,11884,21714
363,5,12814,22778
364,6,12885,22782
365,4,12205,22356
366,4,11951,21858
367,6,12848,22708
368,4,12233,22302
369,4,12237,22430
370,6,12886,22784
371,6,12786,22772
372,4,12394,22624
373,4,12388,22612
374,5,12139,22102
375,4,12190,22242
376,4,12215,22292
377,6,12887,22786
378,6,12883,22778
379,5,12662,22636
380,4,12103,22068
381,4,12334,22504
382,4,12191,22328
383,6,12802,22804
384,4,12226,22088
385,6,12735,22670
386,4,11790,21536
387,4,12130,22216
388,6,12695,22590
389,6,12868,22748
390,4,12306,22248
391,4,12223,22392
392,4,12153,22168
393,4,12167,22196
394,4,11868,21692
395,6,12849,22710
396,6,12799,22798
397,4,12281,22398
398,6,12809,22630
399,4,11886,21728
400,4,12258,22352
401,4,12132,22100
402,5,12577,22466
403,4,12189,22214
404,6,12893,22798
405,6,12820,22556
406,6,12785,22582
407,4,12111,22084
408,6,12624,22448
409,5,12118,22060
410,5,11988,21800
411,6,12764,22540
412,4,12147,22156
413,4,12320,22276
414,6,12869,22750
415,4,12130,22216
416,6,12647,22494
417,4,11943,21842
418,4,11867,21690
419,4,12159,22180
420,6,12818,22648
421,6,12741,22682
422,6,12859,22730
423,6,12866,22744
424,6,12835,22682
425,5,12145,22114
426,6,12842,22600
427,6,12857,22726
428,6,12943,22802
429,5,12743,22636
430,6,12853,22718
431,5,12824,22798
432,4,12161,22158
433,5,12174,22172
434,4,12196,22338
435,4,12234,22424
436,5,12137,22098
437,6,12642,22484
438,6,12933,22782
439,6,12797,22794
440,5,12702,22716
441,4,12204,22270
442,6,12896,22804
443,4,12212,22286
444,4,12295,22426
445,4,11811,21578
446,6,12922,22856
447,5,12798,22746
448,5,12759,22668
449,4,12019,21984
450,6,12667,22534
451,5,12689,22690
452,6,12886,22784
453,4,12351,22538
454,4,12179,22220
455,5,12542,22396
456,4,12199,22260
457,4,12076,22108
458,6,12767,22546
459,4,12162,22280
460,6,12637,22474
461,5,12729,22608
462,5,12811,22772
463,6,12943,22898
464,4,12320,22276
465,4,12006,21958
466,4,12132,22220
467,5,11991,21806
468,5,12669,22650
469,6,12898,22808
470,4,12074,22104
471,4,12019,21984
472,4,12269,22374
473,4,11839,21634
474,5,12601,22514
475,6,12868,22748
476,4,11896,21748
477,6,12801,22614
478,4,11944,21844
479,5,12591,22494
480,4,12318,22272
481,4,12222,22390
482,4,12185,22232
483,4,12296,22428
484,6,12858,22728
485,5,12548,22408
486,6,12926,22768
487,4,12353,22542
488,4,12383,22602
489,4,11876,21708
490,5,12811,22772
491,4,12223,22392
492,6,12878,22768
493,5,12807,22764
494,6,12898,22712
495,6,12931,22778
496,6,12641,22482
